"Method","Path","Tags","OperationId","Summary"
"GET","/api/admin/about","Admin: About","get_app_info_api_admin_about_get","Get App Info"
"GET","/api/admin/about/check","Admin: About","check_app_config_api_admin_about_check_get","Check App Config"
"GET","/api/admin/about/statistics","Admin: About","get_app_statistics_api_admin_about_statistics_get","Get App Statistics"
"GET","/api/admin/backups","Admin: Backups","get_all_api_admin_backups_get","Get All"
"POST","/api/admin/backups","Admin: Backups","create_one_api_admin_backups_post","Create One"
"DELETE","/api/admin/backups/{file_name}","Admin: Backups","delete_one_api_admin_backups__file_name__delete","Delete One"
"GET","/api/admin/backups/{file_name}","Admin: Backups","get_one_api_admin_backups__file_name__get","Get One"
"POST","/api/admin/backups/{file_name}/restore","Admin: Backups","import_one_api_admin_backups__file_name__restore_post","Import One"
"POST","/api/admin/backups/upload","Admin: Backups","upload_one_api_admin_backups_upload_post","Upload One"
"POST","/api/admin/debug/openai","Admin: Debug","debug_openai_api_admin_debug_openai_post","Debug Openai"
"GET","/api/admin/email","Admin: Email","check_email_config_api_admin_email_get","Check Email Config"
"POST","/api/admin/email","Admin: Email","send_test_email_api_admin_email_post","Send Test Email"
"GET","/api/admin/groups","Admin: Manage Groups","get_all_api_admin_groups_get","Get All"
"POST","/api/admin/groups","Admin: Manage Groups","create_one_api_admin_groups_post","Create One"
"DELETE","/api/admin/groups/{item_id}","Admin: Manage Groups","delete_one_api_admin_groups__item_id__delete","Delete One"
"GET","/api/admin/groups/{item_id}","Admin: Manage Groups","get_one_api_admin_groups__item_id__get","Get One"
"PUT","/api/admin/groups/{item_id}","Admin: Manage Groups","update_one_api_admin_groups__item_id__put","Update One"
"GET","/api/admin/households","Admin: Manage Households","get_all_api_admin_households_get","Get All"
"POST","/api/admin/households","Admin: Manage Households","create_one_api_admin_households_post","Create One"
"DELETE","/api/admin/households/{item_id}","Admin: Manage Households","delete_one_api_admin_households__item_id__delete","Delete One"
"GET","/api/admin/households/{item_id}","Admin: Manage Households","get_one_api_admin_households__item_id__get","Get One"
"PUT","/api/admin/households/{item_id}","Admin: Manage Households","update_one_api_admin_households__item_id__put","Update One"
"GET","/api/admin/maintenance","Admin: Maintenance","get_maintenance_summary_api_admin_maintenance_get","Get Maintenance Summary"
"POST","/api/admin/maintenance/clean/images","Admin: Maintenance","clean_images_api_admin_maintenance_clean_images_post","Clean Images"
"POST","/api/admin/maintenance/clean/recipe-folders","Admin: Maintenance","clean_recipe_folders_api_admin_maintenance_clean_recipe_folders_post","Clean Recipe Folders"
"POST","/api/admin/maintenance/clean/temp","Admin: Maintenance","clean_temp_api_admin_maintenance_clean_temp_post","Clean Temp"
"GET","/api/admin/maintenance/storage","Admin: Maintenance","get_storage_details_api_admin_maintenance_storage_get","Get Storage Details"
"GET","/api/admin/users","Admin: Manage Users","get_all_api_admin_users_get","Get All"
"POST","/api/admin/users","Admin: Manage Users","create_one_api_admin_users_post","Create One"
"DELETE","/api/admin/users/{item_id}","Admin: Manage Users","delete_one_api_admin_users__item_id__delete","Delete One"
"GET","/api/admin/users/{item_id}","Admin: Manage Users","get_one_api_admin_users__item_id__get","Get One"
"PUT","/api/admin/users/{item_id}","Admin: Manage Users","update_one_api_admin_users__item_id__put","Update One"
"POST","/api/admin/users/password-reset-token","Admin: Manage Users","generate_token_api_admin_users_password_reset_token_post","Generate Token"
"POST","/api/admin/users/unlock","Admin: Manage Users","unlock_users_api_admin_users_unlock_post","Unlock Users"
"GET","/api/app/about","App: About","get_app_info_api_app_about_get","Get App Info"
"GET","/api/app/about/startup-info","App: About","get_startup_info_api_app_about_startup_info_get","Get Startup Info"
"GET","/api/app/about/theme","App: About","get_app_theme_api_app_about_theme_get","Get App Theme"
"POST","/api/auth/logout","Users: Authentication","logout_api_auth_logout_post","Logout"
"GET","/api/auth/oauth","Users: Authentication","oauth_login_api_auth_oauth_get","Oauth Login"
"GET","/api/auth/oauth/callback","Users: Authentication","oauth_callback_api_auth_oauth_callback_get","Oauth Callback"
"GET","/api/auth/refresh","Users: Authentication","refresh_token_api_auth_refresh_get","Refresh Token"
"POST","/api/auth/token","Users: Authentication","get_token_api_auth_token_post","Get Token"
"GET","/api/comments","Recipe: Comments","get_all_api_comments_get","Get All"
"POST","/api/comments","Recipe: Comments","create_one_api_comments_post","Create One"
"DELETE","/api/comments/{item_id}","Recipe: Comments","delete_one_api_comments__item_id__delete","Delete One"
"GET","/api/comments/{item_id}","Recipe: Comments","get_one_api_comments__item_id__get","Get One"
"PUT","/api/comments/{item_id}","Recipe: Comments","update_one_api_comments__item_id__put","Update One"
"GET","/api/explore/groups/{group_slug}/cookbooks","Explore: Cookbooks","get_all_api_explore_groups__group_slug__cookbooks_get","Get All"
"GET","/api/explore/groups/{group_slug}/cookbooks/{item_id}","Explore: Cookbooks","get_one_api_explore_groups__group_slug__cookbooks__item_id__get","Get One"
"GET","/api/explore/groups/{group_slug}/foods","Explore: Foods","get_all_api_explore_groups__group_slug__foods_get","Get All"
"GET","/api/explore/groups/{group_slug}/foods/{item_id}","Explore: Foods","get_one_api_explore_groups__group_slug__foods__item_id__get","Get One"
"GET","/api/explore/groups/{group_slug}/households","Explore: Households","get_all_api_explore_groups__group_slug__households_get","Get All"
"GET","/api/explore/groups/{group_slug}/households/{household_slug}","Explore: Households","get_household_api_explore_groups__group_slug__households__household_slug__get","Get Household"
"GET","/api/explore/groups/{group_slug}/organizers/categories","Explore: Categories","get_all_api_explore_groups__group_slug__organizers_categories_get","Get All"
"GET","/api/explore/groups/{group_slug}/organizers/categories/{item_id}","Explore: Categories","get_one_api_explore_groups__group_slug__organizers_categories__item_id__get","Get One"
"GET","/api/explore/groups/{group_slug}/organizers/tags","Explore: Tags","get_all_api_explore_groups__group_slug__organizers_tags_get","Get All"
"GET","/api/explore/groups/{group_slug}/organizers/tags/{item_id}","Explore: Tags","get_one_api_explore_groups__group_slug__organizers_tags__item_id__get","Get One"
"GET","/api/explore/groups/{group_slug}/organizers/tools","Explore: Tools","get_all_api_explore_groups__group_slug__organizers_tools_get","Get All"
"GET","/api/explore/groups/{group_slug}/organizers/tools/{item_id}","Explore: Tools","get_one_api_explore_groups__group_slug__organizers_tools__item_id__get","Get One"
"GET","/api/explore/groups/{group_slug}/recipes","Explore: Recipes","get_all_api_explore_groups__group_slug__recipes_get","Get All"
